| HQ Rooms | Price group | Nb_House_Sold |
+----------+-------------+---------------+
|     2    |      1      |             1 |
|          |      2      |               |
|          |      3      |               |
|          |      4      |               |
|          |      5      |               |
|          |      6      |               |
|          |      7      |               |
|          |      8      |               |
|          |      9      |               |
##########################################
|     3    |      1      |            13 |
|          |      2      |             1 |
|          |      3      |             9 |
|          |      4      |             2 |
|          |      5      |             1 |
|          |      6      |               |
|          |      7      |               |
|          |      8      |               |
|          |      9      |               |
##########################################
|     4    |      1      |            55 |
|          |      2      |            42 |
|          |      3      |            60 |
|          |      4      |            18 |
|          |      5      |            11 |
|          |      6      |            13 |
|          |      7      |             4 |
|          |      8      |               |
|          |      9      |               |
##########################################
|     5    |      1      |            81 |
|          |      2      |           156 |
|          |      3      |           171 |
|          |      4      |            67 |
|          |      5      |            53 |
|          |      6      |            27 |
|          |      7      |            26 |
|          |      8      |             5 |
|          |      9      |               |
##########################################
|     6    |      1      |            54 |
|          |      2      |            92 |
|          |      3      |           245 |
|          |      4      |           175 |
|          |      5      |           115 |
|          |      6      |           110 |
|          |      7      |            48 |
|          |      8      |             5 |
|          |      9      |               |
##########################################
|     7    |      1      |            18 |
|          |      2      |            39 |
|          |      3      |            94 |
|          |      4      |           112 |
|          |      5      |           120 |
|          |      6      |           150 |
|          |      7      |            86 |
|          |      8      |            25 |
|          |      9      |             5 |
##########################################
|     8    |      1      |             8 |
|          |      2      |            23 |
|          |      3      |            40 |
|          |      4      |            43 |
|          |      5      |            49 |
|          |      6      |            77 |
|          |      7      |            83 |
|          |      8      |            16 |
|          |      9      |             8 |
##########################################
|     9    |      1      |             3 |
|          |      2      |             8 |
|          |      3      |            13 |
|          |      4      |             7 |
|          |      5      |             6 |
|          |      6      |            28 |
|          |      7      |            58 |
|          |      8      |            18 |
|          |      9      |             2 |
##########################################
|     10   |      1      |             2 |
|          |      2      |             5 |
|          |      3      |            11 |
|          |      4      |             9 |
|          |      5      |             3 |
|          |      6      |             4 |
|          |      7      |            21 |
|          |      8      |            16 |
|          |      9      |             7 |
##########################################
|     11   |      1      |             1 |
|          |      2      |             4 |
|          |      3      |             1 |
|          |      4      |             1 |
|          |      5      |             2 |
|          |      6      |             2 |
|          |      7      |             9 |
|          |      8      |             6 |
|          |      9      |             6 |
##########################################
|     12   |      1      |             1 |
|          |      2      |             1 |
|          |      3      |             1 |
|          |      4      |             2 |
|          |      5      |             3 |
|          |      6      |             2 |
|          |      7      |             2 |
|          |      8      |               |
|          |      9      |             3 |
##########################################
|     13   |      1      |               |
|          |      2      |               |
|          |      3      |               |
|          |      4      |               |
|          |      5      |               |
|          |      6      |             1 |
|          |      7      |               |
|          |      8      |               |
|          |      9      |               |
##########################################
|     14   |      1      |               |
|          |      2      |               |
|          |      3      |               |
|          |      4      |               |
|          |      5      |               |
|          |      6      |             1 |
|          |      7      |               |
|          |      8      |               |
|          |      9      |               |
