|  T  | S | HQ | P | Nb_House_Sold |
+-----+---+----+---+---------------+
| 020 | 3 | 2  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 3  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 4  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 5  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |             1 |
|     |   |    | 9 |               |
|     |   | 6  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |             3 |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 7  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |             1 |
|     |   |    | 4 |               |
|     |   |    | 5 |             1 |
|     |   |    | 6 |             5 |
|     |   |    | 7 |             6 |
|     |   |    | 8 |             7 |
|     |   |    | 9 |             5 |
|     |   | 8  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |             3 |
|     |   |    | 7 |             4 |
|     |   |    | 8 |             6 |
|     |   |    | 9 |             7 |
|     |   | 9  | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |             1 |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |             2 |
|     |   |    | 7 |             2 |
|     |   |    | 8 |             3 |
|     |   |    | 9 |             2 |
|     |   | 10 | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |             1 |
|     |   |    | 8 |             2 |
|     |   |    | 9 |             2 |
|     |   | 11 | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |             1 |
|     |   | 12 | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 13 | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |
|     |   | 14 | 1 |               |
|     |   |    | 2 |               |
|     |   |    | 3 |               |
|     |   |    | 4 |               |
|     |   |    | 5 |               |
|     |   |    | 6 |               |
|     |   |    | 7 |               |
|     |   |    | 8 |               |
|     |   |    | 9 |               |

+ T = "Type"
+ S = "Size - Floor Area group"
+ HQ = "Number of High Quality rooms"
+ P = "Price group"
